Date,Open ,High,Low,Close,Adj Close,Volume,Datetimes
"Apr 26, 2022",208.8,209.15,198.28,198.4,198.4,"20,318,100",2022-04-26
"Apr 27, 2022",194.01,200.19,187.77,188.54,188.54,"22,298,400",2022-04-27
"Apr 28, 2022",191.56,201.48,185.6,199.52,199.52,"21,363,200",2022-04-28
"Apr 29, 2022",198.68,204.71,190,190.36,190.36,"16,391,900",2022-04-29
"May 2, 2022",191.71,200.21,190.01,199.46,199.46,"14,591,600",2022-05-02
"May 3, 2022",198.29,203.2,194.77,199.87,199.87,"11,839,400",2022-05-03
"May 4, 2022",197.65,204.38,191.01,204.01,204.01,"12,218,800",2022-05-04
"May 5, 2022",200.45,200.71,186,188.32,188.32,"13,971,300",2022-05-05
"May 6, 2022",186.75,187.21,175.81,180.97,180.97,"17,185,500",2022-05-06
"May 9, 2022",177.66,183.2,172.3,173.1,173.1,"14,031,300",2022-05-09
"May 10, 2022",176.01,181.87,170.57,177.66,177.66,"13,883,900",2022-05-10
"May 11, 2022",176.09,180.92,165.55,166.37,166.37,"12,665,500",2022-05-11
"May 12, 2022",163.96,177.58,162.71,174.31,174.31,"17,662,100",2022-05-12
"May 13, 2022",177.16,187.77,176.01,187.64,187.64,"13,136,300",2022-05-13
"May 16, 2022",193.3,195.89,185.7,186.51,186.51,"16,145,000",2022-05-16
"May 17, 2022",189.17,191.4,185.17,190.56,190.56,"9,876,700",2022-05-17
"May 18, 2022",186.72,187.7,176.27,177.19,177.19,"9,665,600",2022-05-18
"May 19, 2022",178.05,186.3,175.71,183.48,183.48,"10,448,500",2022-05-19
"May 20, 2022",185.87,190.19,179.77,186.35,186.35,"10,429,400",2022-05-20
"May 23, 2022",186.15,187.66,177.89,187.44,187.44,"9,602,000",2022-05-23
"May 24, 2022",182,184,177.17,180.34,180.34,"7,706,400",2022-05-24
"May 25, 2022",180.28,188.87,180.17,187.83,187.83,"8,522,100",2022-05-25
"May 26, 2022",186.49,192.34,183.09,191.4,191.4,"8,049,900",2022-05-26
"May 27, 2022",193.19,195.25,190.37,195.19,195.19,"8,586,000",2022-05-27
"May 31, 2022",196.18,199.95,190.8,197.44,197.44,"11,398,500",2022-05-31
"Jun 1, 2022",198.7,202.74,191.66,192.91,192.91,"8,416,200",2022-06-01
"Jun 2, 2022",192.02,205.47,191.72,205.09,205.09,"9,623,100",2022-06-02
"Jun 3, 2022",200.14,202.95,198.05,198.98,198.98,"7,191,800",2022-06-03
"Jun 6, 2022",202.09,203.87,195.38,197.14,197.14,"5,372,000",2022-06-06
"Jun 7, 2022",194.87,199.6,193,198.61,198.61,"4,839,500",2022-06-07
"Jun 8, 2022",197.95,207.38,197.64,202.83,202.83,"7,244,100",2022-06-08
"Jun 9, 2022",200.65,201.69,192.54,192.77,192.77,"6,949,000",2022-06-09
"Jun 10, 2022",182.64,185.86,180.85,182.94,182.94,"13,065,600",2022-06-10
"Jun 13, 2022",177.07,179.09,168.96,169.69,169.69,"10,222,400",2022-06-13
"Jun 14, 2022",169.75,172.06,164.28,167.54,167.54,"11,555,300",2022-06-14
"Jun 15, 2022",169.26,183.85,168.53,180.11,180.11,"12,396,000",2022-06-15
"Jun 16, 2022",174,176.27,171.56,173.35,173.35,"8,201,300",2022-06-16
"Jun 17, 2022",173.63,179.65,173.34,175.51,175.51,"12,133,400",2022-06-17
